"genus","species","taxon"
"Chilodontopsis","Chilodontopsis vorax","Ciliophora"
"Chlamydodon","Chlamydodon cyclops","Ciliophora"
"Chlamydodon","Chlamydodon major","Ciliophora"
"Chlamydodon","Chlamydodon mnemosyne","Ciliophora"
"Chlamydodon","Chlamydodon apsheronica","Ciliophora"
"Chlamydodon","Chlamydodon pedarius","Ciliophora"
"Chlamydodon","Chlamydodon obliquus","Ciliophora"
"Chlamydodon","Chlamydodon triquetrus","Ciliophora"
"Chilodon","Chilodon auricula","Ciliophora"
"Chlamydodon","Chlamydodon erythrorhynchus","Ciliophora"
"Colpoda","Colpoda triquetrus","Ciliophora"
"Chlamydodon","Chlamydodon kasymovi","Ciliophora"
"Ciliofaurea","Ciliofaurea arenicola","Ciliophora"
"Ciliofaurea","Ciliofaurea mirabilis","Ciliophora"
"Cinetochilum","Cinetochilum margaritaceum","Ciliophora"
"Cyclidium","Cyclidium margaritaceum","Ciliophora"
"Glaucoma","Glaucoma margaritaceum","Ciliophora"
"Climacostomum","Climacostomum gigas","Ciliophora"
"Climacostomum","Climacostomum virens","Ciliophora"
"Bursaria","Bursaria virens","Ciliophora"
"Leucophrys","Leucophrys curvilata","Ciliophora"
"Spirostomum","Spirostomum virens","Ciliophora"
"Codonella","Codonella sp","Ciliophora"
"Codonella","Codonella cratera","Ciliophora"
"Codonella","Codonella lagenula","Ciliophora"
"Codonella","Codonella orthoceras","Ciliophora"
"Codonella","Codonella orthoceras","Ciliophora"
"Codonella","Codonella relicta","Ciliophora"
"Codonellopsis","Codonellopsis sp","Ciliophora"
"Codonellopsis","Codonellopsis contracta","Ciliophora"
"Codonellopsis","Codonellopsis orthoceros","Ciliophora"
"Cohnilembus","Cohnilembus sp","Ciliophora"
"Cohnilembus","Cohnilembus stichotricha","Ciliophora"
"Cohnilembus","Cohnilembus vermiformis","Ciliophora"
"Cohnilembus","Cohnilembus verminus","Ciliophora"
"Coleps","Coleps sp","Ciliophora"
"Coleps","Coleps arenarius","Ciliophora"
"Coleps","Coleps bicuspis","Ciliophora"
"Coleps","Coleps elongatus","Ciliophora"
"Coleps","Coleps hirtus","Ciliophora"
"Cercaria","Cercaria hirta","Ciliophora"
"Cercaria","Cercaria hirta","Ciliophora"
"Coleps","Coleps incurvus","Ciliophora"
"Coleps","Coleps viridis","Ciliophora"
"Dictiocoleps","Dictiocoleps hirtus","Ciliophora"
"Vorticella","Vorticella punctata","Ciliophora"
"Coleps","Coleps pulcher","Ciliophora"
"Coleps","Coleps remanei","Ciliophora"
"Coleps","Coleps similis","Ciliophora"
"Coleps","Coleps spiralis","Ciliophora"
"Coleps","Coleps tesselatus","Ciliophora"
"Cercaria","Cercaria hirta","Ciliophora"
"Colpidium","Colpidium sp","Ciliophora"
"Colpidium","Colpidium kleini","Ciliophora"
"Colpoda","Colpoda cucullus","Ciliophora"
"Colpoda","Colpoda lucida","Ciliophora"
"Kolpoda","Kolpoda cucullus","Ciliophora"
"Tillina","Tillina flavicans","Ciliophora"
"Conchostoma","Conchostoma  longissimum","Ciliophora"
"Condylostoma","Condylostoma arenarium","Ciliophora"
"Condylostoma","Condylostoma magnum","Ciliophora"
"Condylostoma","Condylostoma minima","Ciliophora"
"Condylostoma","Condylostoma patens","Ciliophora"
"Trichoda","Trichoda patens","Ciliophora"
"Condylostoma","Condylostoma patulum","Ciliophora"
"Condylostoma","Condylostoma remanei","Ciliophora"
"Condylostoma","Condylostoma caudatum","Ciliophora"
"Condylostoma","Condylostoma longissima","Ciliophora"
"Condylostoma","Condylostoma rugosa","Ciliophora"
"Condylostoma","Condylostoma tardum","Ciliophora"
"Condylostoma","Condylostoma tenuis","Ciliophora"
"Condylostoma","Condylostoma vorticella","Ciliophora"
"Condylostoma","Condylostoma stagnale","Ciliophora"
"Linostomella","Linostomella vorticella","Ciliophora"
"Copemetopus","Copemetopus subsalsus","Ciliophora"
"Corynophrya","Corynophrya campanula","Ciliophora"
"Corynophrya","Corynophrya marina","Ciliophora"
"Cothurnia","Cothurnia arcuata","Ciliophora"
"Cothurnia","Cothurnia borealis","Ciliophora"
"Amphorides","Amphorides borealis","Ciliophora"
"Tintinnus","Tintinnus borealis","Ciliophora"
"Cothurnia","Cothurnia ceramicola","Ciliophora"
"Cothurnia","Cothurnia cordylophorea","Ciliophora"
"Cothurnia","Cothurnia cypridicola","Ciliophora"
"Cothurnia","Cothurnia gammari","Ciliophora"
"Cothurnia","Cothurnia harpactici","Ciliophora"
"Cothurnia","Cothurnia maritima","Ciliophora"
"Cothurnia","Cothurnia ovalis","Ciliophora"
"Cothurnia","Cothurnia pedunculata","Ciliophora"
"Cothurnia","Cothurnia nodosa","Ciliophora"
